basis,molecule,omega,alpha,gamma,alphaMRA,gammaMRA,alphaE,gammaE,augmentation,polarization,mol_system,valence,Type,absolute_alphaE,eE
d-aug-cc-pCVTZ,FNO,0,16.071971142146666,11.958504239165112,16.061666666666664,11.954530972207504,0.06415570497043697,0.033236493902148875,d-aug,CV,Fluorine,T,d-aug-cc-pCVnZ,0.06415570497043697,0.01831495028949348
d-aug-cc-pCVQZ,FNO,0,16.06419597071333,11.95301858109108,16.061666666666664,11.954530972207504,0.015747456967943427,-0.012651195767869283,d-aug,CV,Fluorine,Q,d-aug-cc-pCVnZ,0.015747456967943427,0.0037326777724899785
aug-cc-pV6Z,FNO,0,,,16.061666666666664,11.954530972207504,,,aug,V,Fluorine,6,aug-cc-pVnZ,,
d-aug-cc-pV6Z,FNO,0,,,16.061666666666664,11.954530972207504,,,d-aug,V,Fluorine,6,d-aug-cc-pVnZ,,
aug-cc-pVDZ,CH3SH,0,34.94684886551333,9.601436631451625,35.876673333333336,9.257993594332786,-2.5917243195346567,3.7096918853894496,aug,V,Second-row,D,aug-cc-pVnZ,2.5917243195346567,0.03638541050935373
aug-cc-pVTZ,CH3SH,0,35.66067669489,9.326411623174188,35.876673333333336,9.257993594332786,-0.6020531403134628,0.7390157288862587,aug,V,Second-row,T,aug-cc-pVnZ,0.6020531403134628,0.009336017043324318
aug-cc-pVQZ,CH3SH,0,35.81861474464,9.265990737355544,35.876673333333336,9.257993594332786,-0.16182823907308083,0.08638095221466843,aug,V,Second-row,Q,aug-cc-pVnZ,0.16182823907308083,0.0027103681153448633
aug-cc-pV5Z,CH3SH,0,35.84195867669333,9.268674645627437,35.876673333333336,9.257993594332786,-0.0967610801521888,0.11537112427025843,aug,V,Second-row,5,aug-cc-pVnZ,0.0967610801521888,0.0005347348183022405
aug-cc-pCVDZ,CH3SH,0,34.949725060326664,9.5852798860717,35.876673333333336,9.257993594332786,-2.583707425697791,3.5351751802815996,aug,CV,Second-row,D,aug-cc-pCVnZ,2.583707425697791,0.035081203503352754
aug-cc-pCVTZ,CH3SH,0,35.69987112557,9.305363869435787,35.876673333333336,9.257993594332786,-0.49280546755451005,0.5116689120631721,aug,CV,Second-row,T,aug-cc-pCVnZ,0.49280546755451005,0.007121175450322426
aug-cc-pCVQZ,CH3SH,0,35.846095065696666,9.250074728930894,35.876673333333336,9.257993594332786,-0.0852316137356577,-0.0855354383344998,aug,CV,Second-row,Q,aug-cc-pCVnZ,0.0852316137356577,0.0012215861993354338
d-aug-cc-pVDZ,CH3SH,0,35.73605815299667,9.257237546827072,35.876673333333336,9.257993594332786,-0.39194040938578345,-0.008166429345736609,d-aug,V,Second-row,D,d-aug-cc-pVnZ,0.39194040938578345,0.03610964177732967
d-aug-cc-pVTZ,CH3SH,0,35.829644088083334,9.27711579746553,35.876673333333336,9.257993594332786,-0.13108585852720786,0.20654802725775637,d-aug,V,Second-row,T,d-aug-cc-pVnZ,0.13108585852720786,0.009240352261315365
d-aug-cc-pVQZ,CH3SH,0,35.850965491976666,9.271391848356986,35.876673333333336,9.257993594332786,-0.071656145813232,0.14472092562692113,d-aug,V,Second-row,Q,d-aug-cc-pVnZ,0.071656145813232,0.0026694580663502165
d-aug-cc-pV5Z,CH3SH,0,,,35.876673333333336,9.257993594332786,,,d-aug,V,Second-row,5,d-aug-cc-pVnZ,,
d-aug-cc-pCVDZ,CH3SH,0,35.740008074563335,9.24156868951026,35.876673333333336,9.257993594332786,-0.38093068858484375,-0.1774132230182281,d-aug,CV,Second-row,D,d-aug-cc-pCVnZ,0.38093068858484375,0.03480675580533443
d-aug-cc-pCVTZ,CH3SH,0,35.87013275453,9.252934465948174,35.876673333333336,9.257993594332786,-0.018230728202054045,-0.05464605622226105,d-aug,CV,Second-row,T,d-aug-cc-pCVnZ,0.018230728202054045,0.007018168042350226
d-aug-cc-pCVQZ,CH3SH,0,35.877906916086665,9.256856226374616,35.876673333333336,9.257993594332786,0.003438397818738269,-0.012285253241769089,d-aug,CV,Second-row,Q,d-aug-cc-pCVnZ,0.003438397818738269,0.0011899866913154256
aug-cc-pV6Z,CH3SH,0,,,35.876673333333336,9.257993594332786,,,aug,V,Second-row,6,aug-cc-pVnZ,,
d-aug-cc-pV6Z,CH3SH,0,,,35.876673333333336,9.257993594332786,,,d-aug,V,Second-row,6,d-aug-cc-pVnZ,,
aug-cc-pVDZ,C2H4,0,27.93486670134,13.691911970288125,28.26220333333333,13.14304729188535,-1.1582134207040342,4.176083873194678,aug,V,First-row,D,aug-cc-pVnZ,1.1582134207040342,0.026709375073309616
aug-cc-pVTZ,C2H4,0,28.19393782227333,13.27320494894541,28.26220333333333,13.14304729188535,-0.2415434856753848,0.9903156716206833,aug,V,First-row,T,aug-cc-pVnZ,0.2415434856753848,0.005936583660314909
aug-cc-pVQZ,C2H4,0,28.244805063746668,13.171024168068891,28.26220333333333,13.14304729188535,-0.06156020244232165,0.2128644564857787,aug,V,First-row,Q,aug-cc-pVnZ,0.06156020244232165,0.0012662137813066465
aug-cc-pV5Z,C2H4,0,28.25507752173,13.147168780075326,28.26220333333333,13.14304729188535,-0.02521322035399353,0.03135869557830627,aug,V,First-row,5,aug-cc-pVnZ,0.02521322035399353,0.00017006637730787588
aug-cc-pCVDZ,C2H4,0,27.90857341443,13.692276527000274,28.26220333333333,13.14304729188535,-1.2512468144557147,4.178857634134993,aug,CV,First-row,D,aug-cc-pCVnZ,1.2512468144557147,0.025756111028314876
aug-cc-pCVTZ,C2H4,0,28.191266499993333,13.273503689814593,28.26220333333333,13.14304729188535,-0.25099541073760046,0.9925886670877858,aug,CV,First-row,T,aug-cc-pCVnZ,0.25099541073760046,0.005568151482307826
aug-cc-pCVQZ,C2H4,0,28.24546632438,13.170548618470407,28.26220333333333,13.14304729188535,-0.059220467547863496,0.20924619667188116,aug,CV,First-row,Q,aug-cc-pCVnZ,0.059220467547863496,0.0010805832533122839
d-aug-cc-pVDZ,C2H4,0,28.277326843976667,13.123536894237423,28.26220333333333,13.14304729188535,0.05351143527263897,-0.14844653005223002,d-aug,V,First-row,D,d-aug-cc-pVnZ,0.05351143527263897,0.02645536636430279
d-aug-cc-pVTZ,C2H4,0,28.274049426926663,13.1465559973934,28.26220333333333,13.14304729188535,0.04191496838946935,0.026696286105694855,d-aug,V,First-row,T,d-aug-cc-pVnZ,0.04191496838946935,0.005862910361301488
d-aug-cc-pVQZ,C2H4,0,28.264898183013333,13.14309509468581,28.26220333333333,13.14304729188535,0.009535171933414553,0.0003637116978865706,d-aug,V,First-row,Q,d-aug-cc-pVnZ,0.009535171933414553,0.0012305644683010541
d-aug-cc-pV5Z,C2H4,0,28.2631663265,13.142117572593657,28.26220333333333,13.14304729188535,0.0034073534724532993,-0.007073848788994013,d-aug,V,First-row,5,d-aug-cc-pVnZ,0.0034073534724532993,0.00016591096431284313
d-aug-cc-pCVDZ,C2H4,0,28.251346420550004,13.131760098150831,28.26220333333333,13.14304729188535,-0.03841495532133518,-0.0858795793992782,d-aug,CV,First-row,D,d-aug-cc-pCVnZ,0.03841495532133518,0.02553848904730671
d-aug-cc-pCVTZ,C2H4,0,28.27102313870333,13.147284341849575,28.26220333333333,13.14304729188535,0.031207069264837687,0.03223795722656023,d-aug,CV,First-row,T,d-aug-cc-pCVnZ,0.031207069264837687,0.005505267217301935
d-aug-cc-pCVQZ,C2H4,0,28.26497863882,13.14216228318916,28.26220333333333,13.14304729188535,0.009819848275590284,-0.006733664397122686,d-aug,CV,First-row,Q,d-aug-cc-pCVnZ,0.009819848275590284,0.0010495622523052361
aug-cc-pV6Z,C2H4,0,,,28.26220333333333,13.14304729188535,,,aug,V,First-row,6,aug-cc-pVnZ,,
d-aug-cc-pV6Z,C2H4,0,,,28.26220333333333,13.14304729188535,,,d-aug,V,First-row,6,d-aug-cc-pVnZ,,
aug-cc-pVDZ,H2,0,5.115147106857666,2.13018763766,5.228656333333333,1.842523,-2.1709062374597425,15.612539852148402,aug,V,First-row,D,aug-cc-pVnZ,2.1709062374597425,0.004828950782681529
aug-cc-pVTZ,H2,0,5.2404395937283335,1.8188489176840008,5.228656333333333,1.842523,0.225359244207357,-1.2848730960752783,aug,V,First-row,T,aug-cc-pVnZ,0.225359244207357,0.0006006231956816599
aug-cc-pVQZ,H2,0,5.2289391933396665,1.839937521641,5.228656333333333,1.842523,0.005409802983796897,-0.1403227183052697,aug,V,First-row,Q,aug-cc-pVnZ,0.005409802983796897,0.0001549645566816249
aug-cc-pV5Z,H2,0,5.223228839317,1.8499072739819995,5.228656333333333,1.842523,-0.10380284475253693,0.4007697044758513,aug,V,First-row,5,aug-cc-pVnZ,0.10380284475253693,1.745678568165765e-05
aug-cc-pCVDZ,H2,0,5.115147106857666,2.13018763766,5.228656333333333,1.842523,-2.1709062374597425,15.612539852148402,aug,CV,First-row,D,aug-cc-pCVnZ,2.1709062374597425,0.004828950782681529
aug-cc-pCVTZ,H2,0,5.2404395937283335,1.8188489176840008,5.228656333333333,1.842523,0.225359244207357,-1.2848730960752783,aug,CV,First-row,T,aug-cc-pCVnZ,0.225359244207357,0.0006006231956816599
aug-cc-pCVQZ,H2,0,5.2289391933396665,1.839937521641,5.228656333333333,1.842523,0.005409802983796897,-0.1403227183052697,aug,CV,First-row,Q,aug-cc-pCVnZ,0.005409802983796897,0.0001549645566816249
d-aug-cc-pVDZ,H2,0,5.184070527715666,2.0077669513790006,5.228656333333333,1.842523,-0.8527201402285189,8.968352165970288,d-aug,V,First-row,D,d-aug-cc-pVnZ,0.8527201402285189,0.004813978190681523
d-aug-cc-pVTZ,H2,0,5.238642562742666,1.837613579162,5.228656333333333,1.842523,0.19099035722943697,-0.2664509934475626,d-aug,V,First-row,T,d-aug-cc-pVnZ,0.19099035722943697,0.0005909631256815207
d-aug-cc-pVQZ,H2,0,5.226191286581333,1.8483883027659995,5.228656333333333,1.842523,-0.047144937338594116,0.31832996201402175,d-aug,V,First-row,Q,d-aug-cc-pVnZ,0.047144937338594116,0.00015137067168158325
d-aug-cc-pV5Z,H2,0,5.223080488871333,1.851201708148,5.228656333333333,1.842523,-0.1066401022850462,0.47102305632005576,d-aug,V,First-row,5,d-aug-cc-pVnZ,0.1066401022850462,1.7041309681609107e-05
d-aug-cc-pCVDZ,H2,0,5.184070527715666,2.0077669513790006,5.228656333333333,1.842523,-0.8527201402285189,8.968352165970288,d-aug,CV,First-row,D,d-aug-cc-pCVnZ,0.8527201402285189,0.004813978190681523
d-aug-cc-pCVTZ,H2,0,5.238642562742666,1.837613579162,5.228656333333333,1.842523,0.19099035722943697,-0.2664509934475626,d-aug,CV,First-row,T,d-aug-cc-pCVnZ,0.19099035722943697,0.0005909631256815207
d-aug-cc-pCVQZ,H2,0,5.22619128658,1.848388302762,5.228656333333333,1.842523,-0.04714493736409122,0.318329961796957,d-aug,CV,First-row,Q,d-aug-cc-pCVnZ,0.04714493736409122,0.00015137067168158325
aug-cc-pV6Z,H2,0,5.223174314552666,1.850432679935,5.228656333333333,1.842523,-0.10484565118037883,0.4292852754076896,aug,V,First-row,6,aug-cc-pVnZ,0.10484565118037883,1.6006876815133353e-06
d-aug-cc-pV6Z,H2,0,5.224405038843333,1.8489067870525,5.228656333333333,1.842523,-0.0813075906882206,0.34646987052536604,d-aug,V,First-row,6,d-aug-cc-pVnZ,0.0813075906882206,1.5274606814941194e-06
aug-cc-pVDZ,Cl2,0,28.353217296953336,18.328663941175066,30.033583333333336,18.234160000394844,-5.594956877872828,0.5182796508211779,aug,V,Second-row,D,aug-cc-pVnZ,5.594956877872828,0.04480599559815346
aug-cc-pVTZ,Cl2,0,29.63470102454667,18.203493713465,30.033583333333336,18.234160000394844,-1.3281209383495731,-0.16818042031648,aug,V,Second-row,T,aug-cc-pVnZ,1.3281209383495731,0.01075395350517283
aug-cc-pVQZ,Cl2,0,29.955721908896663,18.2037214778,30.033583333333336,18.234160000394844,-0.2592478678701549,-0.16693131240587278,aug,V,Second-row,Q,aug-cc-pVnZ,0.2592478678701549,0.0031130989171970214
aug-cc-pV5Z,Cl2,0,29.96470819602,18.206633271735,30.033583333333336,18.234160000394844,-0.22932707212760545,-0.1509624170197445,aug,V,Second-row,5,aug-cc-pVnZ,0.22932707212760545,0.0006841994181741029
aug-cc-pCVDZ,Cl2,0,28.36878393716333,18.277549290985,30.033583333333336,18.234160000394844,-5.543126098850477,0.2379560703054941,aug,CV,Second-row,D,aug-cc-pCVnZ,5.543126098850477,0.0434710391941735
aug-cc-pCVTZ,Cl2,0,29.71005750131,18.13378451532,30.033583333333336,18.234160000394844,-1.077213559343298,-0.5504804447952205,aug,CV,Second-row,T,aug-cc-pCVnZ,1.077213559343298,0.008401267930139511
aug-cc-pCVQZ,Cl2,0,30.010622652656668,18.147677222465003,30.033583333333336,18.234160000394844,-0.07645002070460534,-0.4742898928602628,aug,CV,Second-row,Q,aug-cc-pCVnZ,0.07645002070460534,0.0013803910301248834
d-aug-cc-pVDZ,Cl2,0,29.750650589586662,18.3832939601,30.033583333333336,18.234160000394844,-0.9420545680696567,0.8178822589136419,d-aug,V,Second-row,D,d-aug-cc-pVnZ,0.9420545680696567,0.04405530351516518
d-aug-cc-pVTZ,Cl2,0,29.93878777340333,18.284772434275,30.033583333333336,18.234160000394844,-0.3156318674262063,0.27756931977704574,d-aug,V,Second-row,T,d-aug-cc-pVnZ,0.3156318674262063,0.010564027784198515
d-aug-cc-pVQZ,Cl2,0,29.975925909396665,18.272960783345,30.033583333333336,18.234160000394844,-0.19197650608903274,0.212791721413624,d-aug,V,Second-row,Q,d-aug-cc-pVnZ,0.19197650608903274,0.003059559734197137
d-aug-cc-pV5Z,Cl2,0,30.016363481223333,18.22789467157,30.033583333333336,18.234160000394844,-0.057335323324177234,-0.03436039183987565,d-aug,V,Second-row,5,d-aug-cc-pVnZ,0.057335323324177234,0.0006723542901454493
d-aug-cc-pCVDZ,Cl2,0,29.77191411886333,18.327637349035,30.033583333333336,18.234160000394844,-0.871255392890761,0.512649601835964,d-aug,CV,Second-row,D,d-aug-cc-pCVnZ,0.871255392890761,0.042750448566152954
d-aug-cc-pCVTZ,Cl2,0,30.02111468349,18.203922799335007,30.033583333333336,18.234160000394844,-0.041515691634092425,-0.1658272224176057,d-aug,CV,Second-row,T,d-aug-cc-pCVnZ,0.041515691634092425,0.008223844813187497
d-aug-cc-pCVQZ,Cl2,0,30.028713829786668,18.22284731256501,30.033583333333336,18.234160000394844,-0.01621352834466504,-0.06204117891688457,d-aug,CV,Second-row,Q,d-aug-cc-pCVnZ,0.01621352834466504,0.0013319617842171283
aug-cc-pV6Z,Cl2,0,,,30.033583333333336,18.234160000394844,,,aug,V,Second-row,6,aug-cc-pVnZ,,
d-aug-cc-pV6Z,Cl2,0,,,30.033583333333336,18.234160000394844,,,d-aug,V,Second-row,6,d-aug-cc-pVnZ,,
aug-cc-pVDZ,N2H2,0,18.263592652510003,10.226822031895706,18.6311,10.108076544127744,-1.97254776953587,1.174758493859512,aug,V,First-row,D,aug-cc-pVnZ,1.97254776953587,0.031328543894872496
aug-cc-pVTZ,N2H2,0,18.565881371266663,10.148736528227152,18.6311,10.108076544127744,-0.35005248607616923,0.40225243568252617,aug,V,First-row,T,aug-cc-pVnZ,0.35005248607616923,0.00837358992787074
aug-cc-pVQZ,N2H2,0,18.616954836086663,10.111055567697028,18.6311,10.108076544127744,-0.07592232296180687,0.029471715575936266,aug,V,First-row,Q,aug-cc-pVnZ,0.07592232296180687,0.0016563818688695164
aug-cc-pV5Z,N2H2,0,18.62626814432,10.107940323602502,18.6311,10.108076544127744,-0.025934355352067822,-0.0013476404204825511,aug,V,First-row,5,aug-cc-pVnZ,0.025934355352067822,0.00020841969586626874
aug-cc-pCVDZ,N2H2,0,18.258250203086668,10.231855723729677,18.6311,10.108076544127744,-2.001222670230594,1.2245572049396622,aug,CV,First-row,D,aug-cc-pCVnZ,2.001222670230594,0.030733458981870854
aug-cc-pCVTZ,N2H2,0,18.563766763266667,10.152065181940502,18.6311,10.108076544127744,-0.36140236879912097,0.43518306990178973,aug,CV,First-row,T,aug-cc-pCVnZ,0.36140236879912097,0.007837625444878427
aug-cc-pCVQZ,N2H2,0,18.616962966160003,10.110047837413154,18.6311,10.108076544127744,-0.0758786858532095,0.01950216024585484,aug,CV,First-row,Q,aug-cc-pCVnZ,0.0758786858532095,0.0014677499568733765
d-aug-cc-pVDZ,N2H2,0,18.58065946798333,10.071288215682754,18.6311,10.108076544127744,-0.2707329788185828,-0.36394984035179256,d-aug,V,First-row,D,d-aug-cc-pVnZ,0.2707329788185828,0.03091054548187344
d-aug-cc-pVTZ,N2H2,0,18.63813177265333,10.111308708635978,18.6311,10.108076544127744,0.03774212286623497,0.031976058888385624,d-aug,V,First-row,T,d-aug-cc-pVnZ,0.03774212286623497,0.008271564879876792
d-aug-cc-pVQZ,N2H2,0,18.63417543260333,10.11059338768141,18.6311,10.108076544127744,0.0165069835024865,0.02489933215957041,d-aug,V,First-row,Q,d-aug-cc-pVnZ,0.0165069835024865,0.0016206958028703866
d-aug-cc-pV5Z,N2H2,0,18.63243033629,10.11089579088722,18.6311,10.108076544127744,0.007140406578246472,0.027891030970807983,d-aug,V,First-row,5,d-aug-cc-pVnZ,0.007140406578246472,0.00020289274587526052
d-aug-cc-pCVDZ,N2H2,0,18.57505260763333,10.076915139445994,18.6311,10.108076544127744,-0.30082707068647824,-0.3082822389176845,d-aug,CV,First-row,D,d-aug-cc-pCVnZ,0.30082707068647824,0.030313081488870353
d-aug-cc-pCVTZ,N2H2,0,18.635474499936667,10.11231882145818,18.6311,10.108076544127744,0.02347955803289451,0.04196918485842019,d-aug,CV,First-row,T,d-aug-cc-pCVnZ,0.02347955803289451,0.007756857771866521
d-aug-cc-pCVQZ,N2H2,0,18.63404374487333,10.110598986006416,18.6311,10.108076544127744,0.015800166782053423,0.024954716831232834,d-aug,CV,First-row,Q,d-aug-cc-pCVnZ,0.015800166782053423,0.001437477430869194
aug-cc-pV6Z,N2H2,0,,,18.6311,10.108076544127744,,,aug,V,First-row,6,aug-cc-pVnZ,,
d-aug-cc-pV6Z,N2H2,0,,,18.6311,10.108076544127744,,,d-aug,V,First-row,6,d-aug-cc-pVnZ,,
aug-cc-pVDZ,CH3NH2,0,23.866368445463333,3.4544942265371423,24.01543,3.5203149325260976,-0.6206907581361865,-1.869739135575687,aug,V,First-row,D,aug-cc-pVnZ,0.6206907581361865,0.03239865501875272
aug-cc-pVTZ,CH3NH2,0,23.997342786220003,3.519285658020096,24.01543,3.5203149325260976,-0.07531496950084131,-0.029238137090843972,aug,V,First-row,T,aug-cc-pVnZ,0.07531496950084131,0.007608604819751008
aug-cc-pVQZ,CH3NH2,0,24.011625365116668,3.5217139236036776,24.01543,3.5203149325260976,-0.01584245996565747,0.03974050914178096,aug,V,First-row,Q,aug-cc-pVnZ,0.01584245996565747,0.0016319531837609702
aug-cc-pV5Z,CH3NH2,0,24.012502450180005,3.520503931484597,24.01543,3.5203149325260976,-0.012190286911346822,0.0053688082493213735,aug,V,First-row,5,aug-cc-pVnZ,0.012190286911346822,0.00020633390475666147
aug-cc-pCVDZ,CH3NH2,0,23.850763393833333,3.4522631426568964,24.01543,3.5203149325260976,-0.6856700303374361,-1.9331165300136608,aug,CV,First-row,D,aug-cc-pCVnZ,0.6856700303374361,0.031572060269752455
aug-cc-pCVTZ,CH3NH2,0,23.99579216652333,3.5221686076597134,24.01543,3.5203149325260976,-0.08177173374230017,0.05265651423651546,aug,CV,First-row,T,aug-cc-pCVnZ,0.08177173374230017,0.0071908414857517755
aug-cc-pCVQZ,CH3NH2,0,24.01142309978,3.5220909456283414,24.01543,3.5203149325260976,-0.016684690717586565,0.050450403906598995,aug,CV,First-row,Q,aug-cc-pCVnZ,0.016684690717586565,0.001451222698761967
d-aug-cc-pVDZ,CH3NH2,0,24.04056159074,3.47069250643607,24.01543,3.5203149325260976,0.10464768167799915,-1.4096018975898732,d-aug,V,First-row,D,d-aug-cc-pVnZ,0.10464768167799915,0.03209756766375449
d-aug-cc-pVTZ,CH3NH2,0,24.029110528586667,3.518744314428424,24.01543,3.5203149325260976,0.05696557832472112,-0.044615840564767875,d-aug,V,First-row,T,d-aug-cc-pVnZ,0.05696557832472112,0.007538570998761429
d-aug-cc-pVQZ,CH3NH2,0,24.02041870183,3.5204121683917275,24.01543,3.5203149325260976,0.020772902379850033,0.0027621354195192897,d-aug,V,First-row,Q,d-aug-cc-pVnZ,0.020772902379850033,0.0015972035697586762
d-aug-cc-pV5Z,CH3NH2,0,24.01713958494,3.5204709475104803,24.01543,3.5203149325260976,0.007118693856417202,0.004431847359483709,d-aug,V,First-row,5,d-aug-cc-pVnZ,0.007118693856417202,0.00020307604775382515
d-aug-cc-pCVDZ,CH3NH2,0,24.0250758626,3.466895804983377,24.01543,3.5203149325260976,0.040165271244374495,-1.5174530849257957,d-aug,CV,First-row,D,d-aug-cc-pCVnZ,0.040165271244374495,0.03127890019675306
d-aug-cc-pCVTZ,CH3NH2,0,24.02727693188,3.518732170813599,24.01543,3.5203149325260976,0.0493305007655535,-0.044960798759077845,d-aug,CV,First-row,T,d-aug-cc-pCVnZ,0.0493305007655535,0.007119609208757538
d-aug-cc-pCVQZ,CH3NH2,0,24.02006253696,3.520734959976617,24.01543,3.5203149325260976,0.019289835576554965,0.011931530518432222,d-aug,CV,First-row,Q,d-aug-cc-pCVnZ,0.019289835576554965,0.001420218350759228
aug-cc-pV6Z,CH3NH2,0,,,24.01543,3.5203149325260976,,,aug,V,First-row,6,aug-cc-pVnZ,,
d-aug-cc-pV6Z,CH3NH2,0,,,24.01543,3.5203149325260976,,,d-aug,V,First-row,6,d-aug-cc-pVnZ,,
aug-cc-pVDZ,HOCl,0,20.61533363543,11.090026121874862,21.774,10.56213573239951,-5.321329863920268,4.9979511989799645,aug,V,Second-row,D,aug-cc-pVnZ,5.321329863920268,0.047653524893576105
aug-cc-pVTZ,HOCl,0,21.48841240004333,10.695267592801525,21.774,10.56213573239951,-1.3115991547564554,1.260463449580856,aug,V,Second-row,T,aug-cc-pVnZ,1.3115991547564554,0.012386803018671344
aug-cc-pVQZ,HOCl,0,21.71939132306,10.611268357365352,21.774,10.56213573239951,-0.2507976345182289,0.4651769889221149,aug,V,Second-row,Q,aug-cc-pVnZ,0.2507976345182289,0.0032169516396152176
aug-cc-pV5Z,HOCl,0,21.731148703456668,10.586505949918328,21.774,10.56213573239951,-0.19680029642386676,0.23073191006305938,aug,V,Second-row,5,aug-cc-pVnZ,0.19680029642386676,0.0005849589946365086
aug-cc-pCVDZ,HOCl,0,20.620043346966668,11.048538134449236,21.774,10.56213573239951,-5.299699885337252,4.605151972793534,aug,CV,Second-row,D,aug-cc-pCVnZ,5.299699885337252,0.04651329597959375
aug-cc-pCVTZ,HOCl,0,21.519967931326665,10.623503767507543,21.774,10.56213573239951,-1.166676167324956,0.5810191864869366,aug,CV,Second-row,T,aug-cc-pCVnZ,1.166676167324956,0.010551504517593457
aug-cc-pCVQZ,HOCl,0,21.742040598826662,10.557440042200806,21.774,10.56213573239951,-0.14677781378404803,-0.0444577717771541,aug,CV,Second-row,Q,aug-cc-pCVnZ,0.14677781378404803,0.0019942100996104273
d-aug-cc-pVDZ,HOCl,0,21.637191037666668,10.684577355579522,21.774,10.56213573239951,-0.6283134120204523,1.1592506125860627,d-aug,V,Second-row,D,d-aug-cc-pVnZ,0.6283134120204523,0.046960196444615576
d-aug-cc-pVTZ,HOCl,0,21.745620304956663,10.625033233882538,21.774,10.56213573239951,-0.13033753579194315,0.5954998409089729,d-aug,V,Second-row,T,d-aug-cc-pVnZ,0.13033753579194315,0.012086274200669322
d-aug-cc-pVQZ,HOCl,0,21.75366577396333,10.60940458743862,21.774,10.56213573239951,-0.09338764598452441,0.44753122130510564,d-aug,V,Second-row,Q,d-aug-cc-pVnZ,0.09338764598452441,0.0031403536996776893
d-aug-cc-pV5Z,HOCl,0,21.768560004193333,10.568442976148235,21.774,10.56213573239951,-0.02498390652460828,0.05971560968846619,d-aug,V,Second-row,5,d-aug-cc-pVnZ,0.02498390652460828,0.0005723992136381639
d-aug-cc-pCVDZ,HOCl,0,21.64349349555,10.641622369084644,21.774,10.56213573239951,-0.5993685333425206,0.7525621588189562,d-aug,CV,Second-row,D,d-aug-cc-pCVnZ,0.5993685333425206,0.045821645658634225
d-aug-cc-pCVTZ,HOCl,0,21.77878012586333,10.546556897172673,21.774,10.56213573239951,0.02195336577262172,-0.1474970178526334,d-aug,CV,Second-row,T,d-aug-cc-pCVnZ,0.02195336577262172,0.010265067729619659
d-aug-cc-pCVQZ,HOCl,0,21.77549556453667,10.55875695715273,21.774,10.56213573239951,0.006868579666888609,-0.031989507921355,d-aug,CV,Second-row,Q,d-aug-cc-pCVnZ,0.006868579666888609,0.0019287073696432344
