,molecule,basis,energy,energyMRA,energyE,augmentation,polarization,mol_system,valence,Type
97,Na2,aug-cc-pVTZ,-323.714977788657,-323.7170093510182,0.002031562361196393,aug,V,Second-row,T,aug-cc-pVnZ
98,SiO,aug-cc-pVTZ,-363.841244406376,-363.8553384434818,0.014094037105792268,aug,V,Second-row,T,aug-cc-pVnZ
99,Mg,aug-cc-pVTZ,-199.613350546442,-199.61463177308352,0.0012812266415096474,aug,V,Second-row,T,aug-cc-pVnZ
100,BH2Cl,aug-cc-pVTZ,-485.398208645946,-485.4050785127743,0.006869866828310478,aug,V,Second-row,T,aug-cc-pVnZ
101,SH2,aug-cc-pVTZ,-398.713864294458,-398.720249758543,0.006385464084985415,aug,V,Second-row,T,aug-cc-pVnZ
102,P2,aug-cc-pVTZ,-681.49082392513,-681.5002419595646,0.009418034434588662,aug,V,Second-row,T,aug-cc-pVnZ
103,HOCl,aug-cc-pVTZ,-534.922369946915,-534.9347567499336,0.012386803018671344,aug,V,Second-row,T,aug-cc-pVnZ
104,N2H4,aug-cc-pVTZ,-111.220027709778,-111.22886565240296,0.008837942624964512,aug,V,First-row,T,aug-cc-pVnZ
105,NaCl,aug-cc-pVTZ,-621.454689668388,-621.4605931601421,0.005903491754111201,aug,V,Second-row,T,aug-cc-pVnZ
106,HCCCl,aug-cc-pVTZ,-535.775331566222,-535.7866704648576,0.011338898635585792,aug,V,Second-row,T,aug-cc-pVnZ
107,SiH3F,aug-cc-pVTZ,-390.228495408832,-390.2484129041651,0.01991749533311804,aug,V,Second-row,T,aug-cc-pVnZ
108,HCl,aug-cc-pVTZ,-460.107599266223,-460.1128288640629,0.00522959783990018,aug,V,Second-row,T,aug-cc-pVnZ
109,P2H4,aug-cc-pVTZ,-683.827224652993,-683.8400444467295,0.012819793736525753,aug,V,Second-row,T,aug-cc-pVnZ
110,HCN,aug-cc-pVTZ,-92.908696772484,-92.91544634893856,0.006749576454552653,aug,V,First-row,T,aug-cc-pVnZ
111,H2,aug-cc-pVTZ,-1.133021676231,-1.1336222994266816,0.0006006231956816599,aug,V,First-row,T,aug-cc-pVnZ
112,Mg2,aug-cc-pVTZ,-399.224002965697,-399.2265787145141,0.0025757488170938814,aug,V,Second-row,T,aug-cc-pVnZ
113,CSO,aug-cc-pVTZ,-510.340557539593,-510.3560432360895,0.015485696496455148,aug,V,Second-row,T,aug-cc-pVnZ
114,PH3O,aug-cc-pVTZ,-417.391589627244,-417.412960631196,0.02137100395196967,aug,V,Second-row,T,aug-cc-pVnZ
115,FNO,aug-cc-pVTZ,-228.709879230247,-228.72966687021048,0.019787639963482206,aug,V,Fluorine,T,aug-cc-pVnZ
116,S2H2,aug-cc-pVTZ,-796.262166086873,-796.2748019998024,0.012635912929454207,aug,V,Second-row,T,aug-cc-pVnZ
117,CH3OH,aug-cc-pVTZ,-115.091463756392,-115.10105789918822,0.009594142796217398,aug,V,First-row,T,aug-cc-pVnZ
118,NH3O,aug-cc-pVTZ,-131.006493522858,-131.01719613094002,0.01070260808202761,aug,V,First-row,T,aug-cc-pVnZ
119,BF,aug-cc-pVTZ,-124.157069453101,-124.16860420179052,0.011534748689513208,aug,V,Fluorine,T,aug-cc-pVnZ
120,OCl2,aug-cc-pVTZ,-993.780908947021,-993.7989307472096,0.01802180018864874,aug,V,Second-row,T,aug-cc-pVnZ
121,HBS,aug-cc-pVTZ,-422.835700682695,-422.8426665433457,0.0069658606506664,aug,V,Second-row,T,aug-cc-pVnZ
122,C2H2,aug-cc-pVTZ,-76.850162311335,-76.85569409750497,0.005531786169967745,aug,V,First-row,T,aug-cc-pVnZ
123,HF,aug-cc-pVTZ,-100.061077694192,-100.07080831122995,0.009730617037959632,aug,V,Fluorine,T,aug-cc-pVnZ
124,SO2,aug-cc-pVTZ,-547.291920594918,-547.3272441948739,0.03532359995585921,aug,V,Second-row,T,aug-cc-pVnZ
125,Cl2,aug-cc-pVTZ,-919.000056122439,-919.0108100759442,0.01075395350517283,aug,V,Second-row,T,aug-cc-pVnZ
126,Ar,aug-cc-pVTZ,-526.813352166983,-526.8175012159218,0.004149048938757005,aug,V,Second-row,T,aug-cc-pVnZ
127,PH3,aug-cc-pVTZ,-342.487628252021,-342.49455275696744,0.006924504946425714,aug,V,Second-row,T,aug-cc-pVnZ
128,NH3,aug-cc-pVTZ,-56.220297840651,-56.2249450087954,0.004647168144401803,aug,V,First-row,T,aug-cc-pVnZ
129,CH2BH,aug-cc-pVTZ,-64.247479510996,-64.25221923994584,0.004739728949843425,aug,V,First-row,T,aug-cc-pVnZ
130,HCCF,aug-cc-pVTZ,-175.71467076862,-175.72950415795736,0.014833389337354674,aug,V,Fluorine,T,aug-cc-pVnZ
131,CH2NH,aug-cc-pVTZ,-94.069002539622,-94.07615662952324,0.007154089901234784,aug,V,First-row,T,aug-cc-pVnZ
132,SCl2,aug-cc-pVTZ,-1316.565718434714,-1316.5829079576567,0.017189522942771873,aug,V,Second-row,T,aug-cc-pVnZ
133,CH3SH,aug-cc-pVTZ,-437.756010192372,-437.7653462094153,0.009336017043324318,aug,V,Second-row,T,aug-cc-pVnZ
134,CH3Cl,aug-cc-pVTZ,-499.145846500731,-499.1538869843695,0.008040483638467322,aug,V,Second-row,T,aug-cc-pVnZ
135,BeH2,aug-cc-pVTZ,-15.771869640517,-15.773218276632424,0.0013486361154235738,aug,V,First-row,T,aug-cc-pVnZ
136,LiCl,aug-cc-pVTZ,-467.052071389101,-467.0561555507923,0.004084161691309873,aug,V,Second-row,T,aug-cc-pVnZ
137,HCHS,aug-cc-pVTZ,-436.557729957465,-436.5666245145548,0.008894557089774935,aug,V,Second-row,T,aug-cc-pVnZ
138,NaH,aug-cc-pVTZ,-162.391038432972,-162.39334594193485,0.0023075089628434853,aug,V,Second-row,T,aug-cc-pVnZ
139,Ne,aug-cc-pVTZ,-128.533272825198,-128.54709508140573,0.013822256207731698,aug,V,First-row,T,aug-cc-pVnZ
140,BH3,aug-cc-pVTZ,-26.40029522465,-26.402604195447275,0.002308970797272991,aug,V,First-row,T,aug-cc-pVnZ
141,C2H4,aug-cc-pVTZ,-78.064120822686,-78.07005740634631,0.005936583660314909,aug,V,First-row,T,aug-cc-pVnZ
142,ClCN,aug-cc-pVTZ,-551.831381719299,-551.8439976993157,0.012615980016676076,aug,V,Second-row,T,aug-cc-pVnZ
143,OF2,aug-cc-pVTZ,-273.562666996869,-273.5872079514327,0.02454095456369032,aug,V,Fluorine,T,aug-cc-pVnZ
144,CH4,aug-cc-pVTZ,-40.213637161587,-40.21707461893389,0.0034374573468909375,aug,V,First-row,T,aug-cc-pVnZ
145,BH2F,aug-cc-pVTZ,-125.374853767687,-125.38651116165326,0.011657393966260088,aug,V,Fluorine,T,aug-cc-pVnZ
146,HCONH2,aug-cc-pVTZ,-169.005404992778,-169.01912623575151,0.013721242973502967,aug,V,First-row,T,aug-cc-pVnZ
147,LiCN,aug-cc-pVTZ,-99.814539624855,-99.821289359007,0.0067497341519953125,aug,V,First-row,T,aug-cc-pVnZ
148,Be,aug-cc-pVTZ,-14.572875342469,-14.573021989368604,0.00014664689960319777,aug,V,First-row,T,aug-cc-pVnZ
149,CH3BH2,aug-cc-pVTZ,-65.466840039665,-65.47206213551908,0.005222095854080067,aug,V,First-row,T,aug-cc-pVnZ
150,NOCl,aug-cc-pVTZ,-588.769379313604,-588.7841114970596,0.014732183455635095,aug,V,Second-row,T,aug-cc-pVnZ
151,CS,aug-cc-pVTZ,-435.353698302325,-435.3623854607222,0.00868715839720835,aug,V,Second-row,T,aug-cc-pVnZ
152,He,aug-cc-pVTZ,-2.861183426116,-2.861679278747712,0.0004958526317122569,aug,V,First-row,T,aug-cc-pVnZ
153,SiH4,aug-cc-pVTZ,-291.260855970182,-291.2685971476531,0.007741177471132232,aug,V,Second-row,T,aug-cc-pVnZ
154,CO,aug-cc-pVTZ,-112.781447960612,-112.79090134457724,0.009453383965237094,aug,V,First-row,T,aug-cc-pVnZ
155,O3,aug-cc-pVTZ,-224.342743490233,-224.36164650651108,0.018903016278073892,aug,V,First-row,T,aug-cc-pVnZ
156,BHF2,aug-cc-pVTZ,-224.356673592506,-224.37774418031327,0.02107058780725879,aug,V,Fluorine,T,aug-cc-pVnZ
157,NaCN,aug-cc-pVTZ,-254.219279250299,-254.22764856593096,0.008369315631966856,aug,V,Second-row,T,aug-cc-pVnZ
158,CH3F,aug-cc-pVTZ,-139.097910230565,-139.11028544439,0.012375213825009723,aug,V,Fluorine,T,aug-cc-pVnZ
159,C6H6,aug-cc-pVTZ,-230.780615836716,-230.7969690049737,0.016353168257694506,aug,V,First-row,T,aug-cc-pVnZ
160,Li2,aug-cc-pVTZ,-14.871395517176,-14.871561219608218,0.00016570243221813996,aug,V,First-row,T,aug-cc-pVnZ
161,FCN,aug-cc-pVTZ,-191.771278012257,-191.78747330817856,0.016195295921562547,aug,V,Fluorine,T,aug-cc-pVnZ
162,CH3NH2,aug-cc-pVTZ,-95.255488676354,-95.26309728117376,0.007608604819751008,aug,V,First-row,T,aug-cc-pVnZ
163,SiH3Cl,aug-cc-pVTZ,-750.258923344792,-750.2716834824572,0.012760137665168259,aug,V,Second-row,T,aug-cc-pVnZ
164,NH2F,aug-cc-pVTZ,-155.028087015236,-155.0414658687027,0.013378853466690543,aug,V,Fluorine,T,aug-cc-pVnZ
165,CO2,aug-cc-pVTZ,-187.709035656651,-187.7248974832067,0.01586182655569246,aug,V,First-row,T,aug-cc-pVnZ
166,HCP,aug-cc-pVTZ,-379.151246856852,-379.1603611802437,0.009114323391656853,aug,V,Second-row,T,aug-cc-pVnZ
167,NH2OH,aug-cc-pVTZ,-131.043225012017,-131.05393326435697,0.010708252339981073,aug,V,First-row,T,aug-cc-pVnZ
168,N2H2,aug-cc-pVTZ,-110.030822897405,-110.03919648733287,0.00837358992787074,aug,V,First-row,T,aug-cc-pVnZ
169,HNO,aug-cc-pVTZ,-129.837022570492,-129.84754248483563,0.010519914343632308,aug,V,First-row,T,aug-cc-pVnZ
170,ClF,aug-cc-pVTZ,-558.904211686846,-558.9201627529852,0.015951066139223258,aug,V,Second-row,T,aug-cc-pVnZ
171,LiBH4,aug-cc-pVTZ,-34.468629152143,-34.471596967704144,0.0029678155611421175,aug,V,First-row,T,aug-cc-pVnZ
172,HNC,aug-cc-pVTZ,-92.893211062604,-92.90011293647468,0.006901873870688746,aug,V,First-row,T,aug-cc-pVnZ
173,H2O,aug-cc-pVTZ,-76.060572878362,-76.06744053579361,0.0068676574316128836,aug,V,First-row,T,aug-cc-pVnZ
174,HCOOH,aug-cc-pVTZ,-188.835254307222,-188.8510042006056,0.015749893383599556,aug,V,First-row,T,aug-cc-pVnZ
175,HOF,aug-cc-pVTZ,-174.806755539486,-174.82228692034073,0.01553138085472483,aug,V,Fluorine,T,aug-cc-pVnZ
176,HBO,aug-cc-pVTZ,-100.205072886818,-100.21398400383433,0.008911117016324965,aug,V,First-row,T,aug-cc-pVnZ
177,HOOH,aug-cc-pVTZ,-150.835726617784,-150.84848665107518,0.0127600332911868,aug,V,First-row,T,aug-cc-pVnZ
178,NH2Cl,aug-cc-pVQZ,-515.118242953941,-515.1206993559537,0.002456402012626313,aug,V,Second-row,Q,aug-cc-pVnZ
179,NaLi,aug-cc-pVQZ,-169.293305226998,-169.2937090991357,0.000403872137695771,aug,V,Second-row,Q,aug-cc-pVnZ
180,F2,aug-cc-pVQZ,-198.768995399805,-198.77343264581,0.004437246005011275,aug,V,Fluorine,Q,aug-cc-pVnZ
181,HNS,aug-cc-pVQZ,-452.527675082129,-452.5308596955956,0.0031846134666011494,aug,V,Second-row,Q,aug-cc-pVnZ
182,N2,aug-cc-pVQZ,-108.991574667614,-108.99318488339196,0.0016102157779585013,aug,V,First-row,Q,aug-cc-pVnZ
183,HCHO,aug-cc-pVQZ,-113.92095146263,-113.9229129357792,0.0019614731491941484,aug,V,First-row,Q,aug-cc-pVnZ
184,SF2,aug-cc-pVQZ,-596.466543007025,-596.4748975932308,0.00835458620576901,aug,V,Second-row,Q,aug-cc-pVnZ
185,LiH,aug-cc-pVQZ,-7.98721407047,-7.9873491301479,0.0001350596778992852,aug,V,First-row,Q,aug-cc-pVnZ
186,Na2,aug-cc-pVQZ,-323.716348634025,-323.7170093510182,0.0006607169931953649,aug,V,Second-row,Q,aug-cc-pVnZ
187,SiO,aug-cc-pVQZ,-363.851004421015,-363.8553384434818,0.004334022466821352,aug,V,Second-row,Q,aug-cc-pVnZ
188,Mg,aug-cc-pVQZ,-199.61423407459,-199.61463177308352,0.0003976984935150085,aug,V,Second-row,Q,aug-cc-pVnZ
189,BH2Cl,aug-cc-pVQZ,-485.403435305485,-485.4050785127743,0.0016432072893053373,aug,V,Second-row,Q,aug-cc-pVnZ
190,SH2,aug-cc-pVQZ,-398.718188481242,-398.720249758543,0.002061277300981601,aug,V,Second-row,Q,aug-cc-pVnZ
191,P2,aug-cc-pVQZ,-681.497363207787,-681.5002419595646,0.002878751777643629,aug,V,Second-row,Q,aug-cc-pVnZ
192,HOCl,aug-cc-pVQZ,-534.931539798294,-534.9347567499336,0.0032169516396152176,aug,V,Second-row,Q,aug-cc-pVnZ
193,N2H4,aug-cc-pVQZ,-111.227048703791,-111.22886565240296,0.0018169486119603562,aug,V,First-row,Q,aug-cc-pVnZ
194,NaCl,aug-cc-pVQZ,-621.458781409043,-621.4605931601421,0.0018117510991260133,aug,V,Second-row,Q,aug-cc-pVnZ
195,HCCCl,aug-cc-pVQZ,-535.78375341335,-535.7866704648576,0.0029170515075520598,aug,V,Second-row,Q,aug-cc-pVnZ
196,SiH3F,aug-cc-pVQZ,-390.242744952273,-390.2484129041651,0.005667951892121437,aug,V,Second-row,Q,aug-cc-pVnZ
197,HCl,aug-cc-pVQZ,-460.111394314078,-460.1128288640629,0.0014345499849355292,aug,V,Second-row,Q,aug-cc-pVnZ
198,P2H4,aug-cc-pVQZ,-683.835778106106,-683.8400444467295,0.004266340623530596,aug,V,Second-row,Q,aug-cc-pVnZ
199,HCN,aug-cc-pVQZ,-92.914134532712,-92.91544634893856,0.001311816226561291,aug,V,First-row,Q,aug-cc-pVnZ
200,H2,aug-cc-pVQZ,-1.13346733487,-1.1336222994266816,0.0001549645566816249,aug,V,First-row,Q,aug-cc-pVnZ
201,Mg2,aug-cc-pVQZ,-399.225770355931,-399.2265787145141,0.0008083585831286655,aug,V,Second-row,Q,aug-cc-pVnZ
